url_length,num_dots,has_at_symbol,has_hyphen,has_ip_in_url,url_depth,has_double_slash,urgent_keywords,mismatched_domain,label
25,2,0,0,0,1,0,0,0,0
150,5,1,1,1,5,1,1,1,1
30,2,0,0,0,2,0,0,0,0
200,6,1,1,0,3,1,1,1,1
40,1,0,0,0,1,0,0,0,0
180,4,1,1,1,4,1,1,1,1
20,2,0,0,0,1,0,0,0,0
160,5,1,1,0,5,1,1,0,1
22,1,0,0,0,1,0,0,0,0
190,7,1,1,1,6,1,1,1,1
80,2,0,0,0,2,0,0,0,0
120,4,1,0,1,3,0,1,1,1
45,2,0,1,0,3,0,0,0,0
135,3,0,1,0,4,1,1,1,1
28,1,0,0,0,1,0,0,0,0
175,6,1,1,1,5,1,0,1,1
60,2,0,0,0,2,0,0,0,0
145,4,0,1,0,3,0,1,0,1
35,2,0,0,0,1,0,0,0,0
195,5,1,1,1,6,1,1,1,1
